run_id,batch_id,model_name,model_source,task,item_id,repetition,prompt_version,rubric_version,temperature,started_at,finished_at,latency_s,tokens_prompt,tokens_completion,tokens_total,tokens_per_s,retries,status,error,raw_path,accuracy_score,overall_score,research_score,metric_section_completeness,metric_type_coverage,metric_tokens_per_s,metric_deterministic_detail,metric_judge_detail,metric_gate_pass,metric_collection_success,metric_requirement_coverage,metric_category_diversity,metric_field_completeness,metric_non_duplication,ok,speed_score
20260725T152014-6be5eb-deepseek-r1-8b-test-plan-02-add-item-r1,20260725T152014-6be5eb,deepseek-r1:8b,pretrained,test_plan,02-add-item,1,v1,v1,0.1,2026-07-25T15:30:53.268790+00:00,2026-07-25T15:31:47.325973+00:00,53.66107825000108,525,737,1262,23.517976923990986,0,ok,,artifacts/evaluation/20260725T152014-6be5eb-deepseek-r1-8b-test-plan-02-add-item-r1.txt,0.44667999999999997,0.5104639999999999,,0.3,0.6667,23.52,,,,,,,,,True,0.7656
20260725T152014-6be5eb-deepseek-r1-8b-test-plan-01-login-r1,20260725T152014-6be5eb,deepseek-r1:8b,pretrained,test_plan,01-login,1,v1,v1,0.1,2026-07-25T15:27:43.886607+00:00,2026-07-25T15:30:53.258661+00:00,188.80482787500114,540,2639,3179,16.83749317101503,0,ok,,artifacts/evaluation/20260725T152014-6be5eb-deepseek-r1-8b-test-plan-01-login-r1.txt,0.31332,0.250656,,0.3,0.3333,16.84,,,,,,,,,True,0.0
20260725T152014-6be5eb-qwen2-5-coder-latest-automation-02-add-item-r1,20260725T152014-6be5eb,qwen2.5-coder:latest,pretrained,automation,02-add-item,1,,v1,0.1,2026-07-25T15:27:29.844712+00:00,2026-07-25T15:27:43.882931+00:00,13.082038707998436,1055,199,1254,95.85661898655727,0,ok,,artifacts/evaluation/20260725T152014-6be5eb-qwen2-5-coder-latest-automation-02-add-item-r1.txt,1.0,0.9389599999999999,,,,95.86,,,1.0,1.0,,,,,True,0.6948
20260725T152014-6be5eb-qwen2-5-coder-latest-automation-01-login-r1,20260725T152014-6be5eb,qwen2.5-coder:latest,pretrained,automation,01-login,1,,v1,0.1,2026-07-25T15:27:11.219244+00:00,2026-07-25T15:27:29.840773+00:00,17.613187667000602,1243,224,1467,83.28986369392494,0,ok,,artifacts/evaluation/20260725T152014-6be5eb-qwen2-5-coder-latest-automation-01-login-r1.txt,1.0,0.8214,,,,83.29,,,1.0,1.0,,,,,True,0.107
20260725T152014-6be5eb-qwen2-5-coder-latest-test-cases-02-add-item-r1,20260725T152014-6be5eb,qwen2.5-coder:latest,pretrained,test_cases,02-add-item,1,v1,v1,0.1,2026-07-25T15:25:49.581728+00:00,2026-07-25T15:27:11.213697+00:00,81.19993437500125,598,1287,1885,23.214304475846088,0,ok,,artifacts/evaluation/20260725T152014-6be5eb-qwen2-5-coder-latest-test-cases-02-add-item-r1.txt,0.9676724137931033,0.8721379310344827,,,,23.21,,,,,1.0,1.0,0.875,1.0,True,0.49
20260725T152014-6be5eb-qwen2-5-coder-latest-test-cases-01-login-r1,20260725T152014-6be5eb,qwen2.5-coder:latest,pretrained,test_cases,01-login,1,v1,v1,0.1,2026-07-25T15:24:06.877867+00:00,2026-07-25T15:25:49.578119+00:00,102.06493466599932,613,1551,2164,21.202188656481734,0,ok,,artifacts/evaluation/20260725T152014-6be5eb-qwen2-5-coder-latest-test-cases-01-login-r1.txt,0.8987068965517242,0.7189655172413794,,,,21.2,,,,,1.0,0.8,0.975,0.75,True,0.0
20260725T152014-6be5eb-qwen2-5-coder-latest-test-plan-02-add-item-r1,20260725T152014-6be5eb,qwen2.5-coder:latest,pretrained,test_plan,02-add-item,1,v1,v1,0.1,2026-07-25T15:23:51.021483+00:00,2026-07-25T15:24:06.875192+00:00,15.455732209000416,535,222,757,48.97859187539315,0,ok,,artifacts/evaluation/20260725T152014-6be5eb-qwen2-5-coder-latest-test-plan-02-add-item-r1.txt,0.67332,0.735076,,0.9,0.3333,48.98,,,,,,,,,True,0.9821
20260725T152014-6be5eb-qwen2-5-coder-latest-test-plan-01-login-r1,20260725T152014-6be5eb,qwen2.5-coder:latest,pretrained,test_plan,01-login,1,v1,v1,0.1,2026-07-25T15:23:34.483987+00:00,2026-07-25T15:23:51.016029+00:00,16.121090750000803,550,180,730,45.282295802470045,0,ok,,artifacts/evaluation/20260725T152014-6be5eb-qwen2-5-coder-latest-test-plan-01-login-r1.txt,0.61332,0.686316,,0.8,0.3333,45.28,,,,,,,,,True,0.9783
20260725T152014-6be5eb-qwen2-5-latest-automation-02-add-item-r1,20260725T152014-6be5eb,qwen2.5:latest,pretrained,automation,02-add-item,1,,v1,0.1,2026-07-25T15:23:22.796588+00:00,2026-07-25T15:23:34.480589+00:00,10.729439792001358,1055,159,1214,113.14663426370306,0,ok,,artifacts/evaluation/20260725T152014-6be5eb-qwen2-5-latest-automation-02-add-item-r1.txt,1.0,1.0,,,,113.15,,,1.0,1.0,,,,,True,1.0
20260725T152014-6be5eb-qwen2-5-latest-automation-01-login-r1,20260725T152014-6be5eb,qwen2.5:latest,pretrained,automation,01-login,1,,v1,0.1,2026-07-25T15:23:03.359763+00:00,2026-07-25T15:23:22.791994+00:00,18.43768699999964,1243,279,1522,82.54831530657992,0,ok,,artifacts/evaluation/20260725T152014-6be5eb-qwen2-5-latest-automation-01-login-r1.txt,1.0,0.7999999999999999,,,,82.55,,,1.0,1.0,,,,,True,0.0
20260725T152014-6be5eb-qwen2-5-latest-test-cases-02-add-item-r1,20260725T152014-6be5eb,qwen2.5:latest,pretrained,test_cases,02-add-item,1,v1,v1,0.1,2026-07-25T15:21:42.607781+00:00,2026-07-25T15:23:03.356525+00:00,80.30359708300057,598,1242,1840,22.913045826554995,0,ok,,artifacts/evaluation/20260725T152014-6be5eb-qwen2-5-latest-test-cases-02-add-item-r1.txt,0.9073275862068966,0.8280620689655173,,,,22.91,,,,,1.0,1.0,0.975,0.5,True,0.511
20260725T152014-6be5eb-qwen2-5-latest-test-cases-01-login-r1,20260725T152014-6be5eb,qwen2.5:latest,pretrained,test_cases,01-login,1,v1,v1,0.1,2026-07-25T15:20:42.714266+00:00,2026-07-25T15:21:42.604209+00:00,59.480986041000506,613,1215,1828,30.73251002832992,0,ok,,artifacts/evaluation/20260725T152014-6be5eb-qwen2-5-latest-test-cases-01-login-r1.txt,0.7887931034482759,0.8310344827586208,,,,30.73,,,,,1.0,0.6,1.0,0.375,True,1.0
20260725T152014-6be5eb-qwen2-5-latest-test-plan-02-add-item-r1,20260725T152014-6be5eb,qwen2.5:latest,pretrained,test_plan,02-add-item,1,v1,v1,0.1,2026-07-25T15:20:28.160877+00:00,2026-07-25T15:20:42.709929+00:00,14.105357374999585,535,359,894,63.38017366256389,0,ok,,artifacts/evaluation/20260725T152014-6be5eb-qwen2-5-latest-test-plan-02-add-item-r1.txt,0.67332,0.736596,,0.9,0.3333,63.38,,,,,,,,,True,0.9897
20260725T152014-6be5eb-qwen2-5-latest-test-plan-01-login-r1,20260725T152014-6be5eb,qwen2.5:latest,pretrained,test_plan,01-login,1,v1,v1,0.1,2026-07-25T15:20:14.587712+00:00,2026-07-25T15:20:28.156776+00:00,12.292172000001301,550,310,860,69.96322537627272,0,ok,,artifacts/evaluation/20260725T152014-6be5eb-qwen2-5-latest-test-plan-01-login-r1.txt,0.8066800000000001,0.845344,,0.9,0.6667,69.96,,,,,,,,,True,1.0
